===== e31960 | contract=(간편)[소액암진단형]보험료납입보조특약(무배당, 갱신형) | jo=j07562 | jo_title=None =====
회사는 특약보험기간 중 피보험자가 "뇌혈관질환 또는 허혈심장질환"으로 최초 진단확정 되고, "보험금 지급기간" 이내에 "뇌혈관질환 또는 허혈심장질환"의 직접적인 치료를 목적으로 "뇌혈관질환 또는 허혈심장질환 주요치료"를 받은 경우에는 보험수익자에게 약정한 보험금((<부표2-1> "보험금지급기준표" 참조)을 「"뇌혈관질환 또는 허혈심장질환" 주요치료급여금」으로 지급합니다.
[다만, 최초 진단확정일로부터 "뇌혈관질환 또는 허혈심장질환 주요치료"를 합하여 최대 10년간, 연간 1회에 한하여 지급함(최대 10회 지급)]
_____________________________________________________________
_____________________________________________________________
"뇌혈관질환 또는 허혈심장질환" 주요치료급여금 지급 예시
계약일 : 2024년 10월 22일
특약보험가입금액 : 1,000만원
뇌경색증(I63) 최초진단 확정일 : 2025년 5월 3일
협심증(I20) 진단 확정일 : 2026년 11월 1일
- "보험금 지급기간" 동안의 보험금 지급금액 예시
| 최초 진단 후 | 최초 진단 후 | 최초 진단 후 | 최초 진단 후 | 최초 진단 후 |
| --- | --- | --- | --- | --- |
| 1차년도 | 2차년도 | ~ 8차년도 | 9차년도 | 10차년도 |
| 뇌경색증(I63) 수술 1,000만원 지급 | 뇌경색증(I63) 혈전용해치료 | 미지급 | 뇌경색증(I63) 중환자실치료 | 협심증(I20) 혈전용해치료 |
| - | 1,000만원 지급 |  | 1,000만원 지급 | 1,000만원 지급 |
|  | 협심증(I20) 수술 지급안함 | 미지급 | - | 뇌경색증(I63) 수술 지급안함 |
| 최초 진단 후 |  |  |  |  |
| 1차년도 | 2차년도 | 3차년도~ 8차년도 | 9차년도 | 10차년도 |
| 특약 보험가입금액 100% 1회 지급 | 특약 보험가입금액 100% 1회 지급 | 미지급 | 특약 보험가입금액 100% 1회 지급 | 특약 보험가입금액 100% 1회 지급 |
|  | 뇌경색증 혈전용해치료 (2026.10.24) | 뇌경색증·협심증 주요치료 미시행 |  | 협심증 혈전용해치료 (2034.11.17) |
|  |  |  | 뇌경색증 중환자실치료 (2033.6.7) |  |
|  |  |  |  | 뇌경색증 수술 (2035.2.1) |
|  |  |  |  |  |
|  |  |  |  |  |
|  |

===== c05536 | contract=(간편)[소액암진단형]보험료납입보조특약(무배당, 갱신형) | jo=j07561 | jo_title=None =====
| 구 분 | 대 상 질 병 명 | 분류 코드 |
|------|------------|----------|
| | 9. 기타 및 상세불명 부위의 제자리암종 | D09 |
| | 1. 구강 및 소화기관의 행동양식 불명 또는 미상의 신생물 | D37 |
| | 2. 중이, 호흡기관, 흉곽내기관의 행동양식 불명 또는 미상의 신생물 | D38 |
| | 3. 여성 생식기관의 행동양식 불명 또는 미상의 신생물 | D39 |
| | 4. 남성 생식기관의 행동양식 불명 또는 미상의 신생물 | D40 |
| | 5. 비뇨기관의 행동양식 불명 또는 미상의 신생물 | D41 |
| | 6. 수막의 행동양식 불명 또는 미상의 신생물 | D42 |
| | 7. 뇌 및 중추 신경계통의 행동양식 불명 또는 미상의 신생물 | D43 |
| 경계성종양 | 8. 내분비선의 행동양식 불명 또는 미상의 신생물 | D44 |
| | 9. 림프, 조혈 및 관련조직의 행동양식 불명 또는 미상의 기타 신생물 | D47 |
| | 10. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D47.1, D47.3, D47.4, D47.5 |
| | 1. 기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물 | D48 |
| | 1. 거미막하출혈 | I60 |
| | 2. 뇌내출혈 | I61 |
| | 3. 기타 비외상성 두개내출혈 | I62 |
| | 4. 뇌경색증 | I63 |
| | 5. 출혈 또는 경색증으로 명시되지 않은 뇌졸중 | I64 |
| | 6. 뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착 | I65 |
| | 7. 뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착 | I66 |
| | 8. 기타 뇌혈관질환 | I67 |
| | 9. 달리 분류된 질환에서의 뇌혈관장애 | I68 |
| | 10. 뇌혈관질환의 후유증 | I69 |
| | 1. 협심증 | I20 |
| | 2. 급성심근경색증 | I21 |
| | 3. 후속심근경색증 | I22 |
| | 4. 급성심근경색증 후 특정 현존 합병증 | I23 |
| | 5. 기타 급성 허혈심장질환 | I24 |
| | 6. 만성 허혈심장병 | I25 |
| | 1. 알코올성 간질환 | K70 |
| | 2. 독성간질환 | K71 |
| | 3. 달리 분류되지 않은 간부전 | K72 |
| | 4. 달리 분류되지 않은 만성 간염 | K73 |
| | 5. 간의 섬유증 및 경변증 | K74 |
| | 6. 기타 염증성 간질환 | K75 |
