# 재현 게이트 1차 (2026-08-18) — 규칙 태그(tags_u2_rules) + 규칙 라우터 + CLM/AND 재구현, train 338, LLM 0회. u2=항 단위 채점, jo=조 map-back 채점

n=338 tags=tags_u2_rules.jsonl
| arm | 단위 | R@1 | R@5 | R@10 | R@20 | S@5 | RR@10 | core R@5 | 비core R@5 | 후보0 |
|---|---|---|---|---|---|---|---|---|---|---|
| clm:lex=binary | u2 | 0.097 | 0.212 | 0.290 | 0.396 | 0.237 | 0.160 | 0.329 | 0.038 | 19 |
| clm:lex=binary | jo | 0.112 | 0.275 | 0.394 | 0.518 | 0.314 | 0.206 | 0.389 | 0.106 | 19 |
| clm:lex=count | u2 | 0.134 | 0.317 | 0.391 | 0.478 | 0.358 | 0.226 | 0.465 | 0.096 | 19 |
| clm:lex=count | jo | 0.151 | 0.364 | 0.465 | 0.570 | 0.417 | 0.271 | 0.507 | 0.152 | 19 |
| and | u2 | 0.085 | 0.177 | 0.235 | 0.327 | 0.192 | 0.133 | 0.277 | 0.027 | 45 |
| and | jo | 0.097 | 0.222 | 0.331 | 0.431 | 0.246 | 0.165 | 0.332 | 0.060 | 45 |
| clm:tags=0 | u2 | 0.006 | 0.014 | 0.028 | 0.055 | 0.021 | 0.016 | 0.015 | 0.012 | 39 |
| clm:tags=0 | jo | 0.007 | 0.030 | 0.051 | 0.095 | 0.044 | 0.027 | 0.020 | 0.044 | 39 |
